TimeStamp, Electrode, BrainWave, Value
13:51:16.597091,F4,Gamma,0.259582794381686,
13:51:16.597091,F7,Theta,0.235780527061971,
13:51:16.597091,F7,Alpha,0.176430125964923,
13:51:16.597091,F7,Low_Beta,0.145098088363743,
13:51:16.597091,F7,High_Beta,0.157042218719013,
13:51:16.597091,F7,Gamma,0.294757367612859,
13:51:16.597091,F8,Theta,2.51298270836082,
13:51:16.597091,F8,Alpha,2.42031034116411,
13:51:16.597091,F8,Low_Beta,2.50014275471598,
13:51:16.597091,F8,High_Beta,3.68850318838448,
13:51:16.597091,F8,Gamma,9.94467358885523,
13:51:16.597091,FC5,Theta,0.215974257086916,
13:51:16.597091,FC5,Alpha,0.157693064527406,
13:51:16.597091,FC5,Low_Beta,0.237617880541468,
13:51:16.597091,FC5,High_Beta,0.108379463417188,
13:51:16.597091,FC5,Gamma,0.171799619579563,
13:51:16.597091,FC6,Theta,1.13339384462331,
13:51:16.597091,FC6,Alpha,1.13781780079254,
13:51:16.597091,FC6,Low_Beta,1.40454087356379,
13:51:16.597091,FC6,High_Beta,1.36057033517152,
13:51:16.597091,FC6,Gamma,5.28462728890154,
13:51:16.597091,P7,Theta,1.68039665622159,
13:51:16.597091,P7,Alpha,0.839595725363514,
13:51:16.597091,P7,Low_Beta,0.712752667382075,
13:51:16.597091,P7,High_Beta,1.08925906723594,
13:51:16.597091,P7,Gamma,2.4601551115266,
13:51:16.597091,P8,Theta,4.75278249555835,
13:51:16.597091,P8,Alpha,1.54254546544577,
13:51:16.597091,P8,Low_Beta,2.0195211924387,
13:51:16.597091,P8,High_Beta,2.9864612311869,
13:51:16.597091,P8,Gamma,8.2170300625037,
13:51:16.597091,O1,Theta,1.03910047949488,
13:51:16.597091,O1,Alpha,0.451549300791663,
13:51:16.597091,O1,Low_Beta,0.433146590930372,
13:51:16.597091,O1,High_Beta,0.665946781661828,
13:51:16.597091,O1,Gamma,1.40130041415349,
13:51:16.597091,O2,Theta,6.69538302779746,
13:51:16.597091,O2,Alpha,3.75705675144791,
13:51:16.597091,O2,Low_Beta,3.45063728342498,
13:51:16.597091,O2,High_Beta,4.70927201067774,
13:51:16.597091,O2,Gamma,11.684902901548,
13:51:16.760482,AF3,Theta,0.504986361625745,
13:51:16.760482,AF3,Alpha,0.206337686411064,
13:51:16.760482,AF3,Low_Beta,0.201093717117126,
13:51:16.760482,AF3,High_Beta,0.166773612962257,
13:51:16.760482,AF3,Gamma,0.227138770661522,
13:51:16.760482,AF4,Theta,1.05642605518024,
13:51:16.760482,AF4,Alpha,1.42369870849353,
13:51:16.760482,AF4,Low_Beta,1.35758196758054,
13:51:16.760482,AF4,High_Beta,1.66979042149214,
13:51:16.760482,AF4,Gamma,5.2904156726597,
13:51:16.760482,T7,Theta,1.65255026139625,
13:51:16.760482,T7,Alpha,0.615925397278214,
13:51:16.760482,T7,Low_Beta,0.607259745670968,
13:51:16.760482,T7,High_Beta,1.14703599905049,
13:51:16.760482,T7,Gamma,3.16116238601573,
13:51:16.760482,T8,Theta,8.73619157212236,
13:51:16.760482,T8,Alpha,2.83421117126782,
13:51:16.760482,T8,Low_Beta,3.1649868576751,
13:51:16.760482,T8,High_Beta,5.32424912845136,
13:51:16.760482,T8,Gamma,15.3028207385315,
13:51:16.760482,F3,Theta,5.23331885909288,
13:51:16.760482,F3,Alpha,4.01817990237688,
13:51:16.760482,F3,Low_Beta,3.12812431049611,
13:51:16.760482,F3,High_Beta,5.37885439720229,
13:51:16.760482,F3,Gamma,16.1190164777184,
13:51:16.760482,F4,Theta,0.182506718784683,
13:51:16.760482,F4,Alpha,0.070385908742358,
13:51:16.760482,F4,Low_Beta,0.234360015969017,
13:51:16.760482,F4,High_Beta,0.123688091059823,
13:51:16.760482,F4,Gamma,0.278581640378141,
13:51:16.760482,F7,Theta,0.17378356844747,
13:51:16.760482,F7,Alpha,0.149504926817349,
13:51:16.760482,F7,Low_Beta,0.170617283067194,
13:51:16.760482,F7,High_Beta,0.172389600072195,
13:51:16.760482,F7,Gamma,0.320598231092783,
13:51:16.760482,F8,Theta,2.19043144636452,
13:51:16.760482,F8,Alpha,2.75637352569532,
13:51:16.760482,F8,Low_Beta,2.66492847918331,
13:51:16.760482,F8,High_Beta,3.66201221106175,
13:51:16.760482,F8,Gamma,10.7384340077183,
13:51:16.760482,FC5,Theta,0.22400243796817,
13:51:16.760482,FC5,Alpha,0.149804404776489,
13:51:16.760482,FC5,Low_Beta,0.230757895205031,
13:51:16.760482,FC5,High_Beta,0.0996939114683984,
13:51:16.760482,FC5,Gamma,0.17609257393558,
13:51:16.760482,FC6,Theta,1.0584719479954,
13:51:16.760482,FC6,Alpha,1.25349269933396,
13:51:16.760482,FC6,Low_Beta,1.20935297171298,
13:51:16.760482,FC6,High_Beta,1.34678606990004,
13:51:16.760482,FC6,Gamma,5.72056343902634,
13:51:16.760482,P7,Theta,1.43899676757708,
13:51:16.760482,P7,Alpha,0.826412601098623,
13:51:16.760482,P7,Low_Beta,0.731011161273566,
13:51:16.760482,P7,High_Beta,1.10739932266151,
13:51:16.760482,P7,Gamma,2.65695660423893,
13:51:16.760482,P8,Theta,4.40458816817278,
13:51:16.760482,P8,Alpha,1.37882564291654,
13:51:16.760482,P8,Low_Beta,2.25949485178458,
13:51:16.760482,P8,High_Beta,3.11736381456906,
13:51:16.760482,P8,Gamma,8.70251447960727,
13:51:16.760482,O1,Theta,0.931478439980895,
13:51:16.760482,O1,Alpha,0.468293813244595,
13:51:16.760482,O1,Low_Beta,0.412872408403173,
13:51:16.760482,O1,High_Beta,0.64187554919267,
13:51:16.760482,O1,Gamma,1.48125677273212,
13:51:16.760482,O2,Theta,5.7551722864139,
13:51:16.760482,O2,Alpha,3.47345078018022,
13:51:16.760482,O2,Low_Beta,3.74281527838829,
13:51:16.760482,O2,High_Beta,4.727055973696,
13:51:16.760482,O2,Gamma,12.5143945497126,
13:51:16.928062,AF3,Theta,0.413038920664522,
13:51:16.928062,AF3,Alpha,0.182603616380815,
13:51:16.928062,AF3,Low_Beta,0.190191887454327,
13:51:16.928062,AF3,High_Beta,0.154982075392234,
13:51:16.928062,AF3,Gamma,0.239999454647945,
13:51:16.928062,AF4,Theta,0.97797825060594,
13:51:16.928062,AF4,Alpha,1.50670893341899,
13:51:16.928062,AF4,Low_Beta,1.35690661404579,
13:51:16.928062,AF4,High_Beta,1.58820864592116,
13:51:16.928062,AF4,Gamma,5.55650064672771,
13:51:16.928062,T7,Theta,1.35620898080889,
13:51:16.928062,T7,Alpha,0.579560168008216,
13:51:16.928062,T7,Low_Beta,0.6519169369315,
13:51:16.928062,T7,High_Beta,1.12569625783431,
13:51:16.928062,T7,Gamma,3.33735454667053,
13:51:16.928062,T8,Theta,8.11530765671088,
13:51:16.928062,T8,Alpha,2.79027958054971,
13:51:16.928062,T8,Low_Beta,3.92421355710932,
13:51:16.928062,T8,High_Beta,5.1649019394441,
13:51:16.928062,T8,Gamma,15.9611001259491,
13:51:16.928062,F3,Theta,3.79422680923658,
13:51:16.928062,F3,Alpha,3.88945799146282,
13:51:16.928062,F3,Low_Beta,3.62445527727258,
13:51:16.928062,F3,High_Beta,5.26186329930207,
13:51:16.928062,F3,Gamma,16.8719732817849,
13:51:16.928062,F4,Theta,0.133926560489863,
13:51:16.928062,F4,Alpha,0.0585564864735005,
13:51:16.928062,F4,Low_Beta,0.216158924211448,
13:51:16.928062,F4,High_Beta,0.135167081661734,
13:51:16.928062,F4,Gamma,0.298210571356703,
13:51:16.928062,F7,Theta,0.123031143217033,
13:51:16.928062,F7,Alpha,0.12403999181826,
13:51:16.928062,F7,Low_Beta,0.186746252581918,
13:51:16.928062,F7,High_Beta,0.177764373341879,
13:51:16.928062,F7,Gamma,0.341022095470639,
13:51:16.928062,F8,Theta,1.91815842421144,
13:51:16.928062,F8,Alpha,2.93712380411006,
13:51:16.928062,F8,Low_Beta,2.96639536795432,
13:51:16.928062,F8,High_Beta,3.48945919000657,
13:51:16.928062,F8,Gamma,11.2430848370756,
13:51:16.928062,FC5,Theta,0.224285808685677,
13:51:16.928062,FC5,Alpha,0.132789069272244,
13:51:16.928062,FC5,Low_Beta,0.202572247304765,
13:51:16.928062,FC5,High_Beta,0.0882462588636473,
13:51:16.928062,FC5,Gamma,0.173981152381981,
13:51:16.928062,FC6,Theta,1.02768457668813,
13:51:16.928062,FC6,Alpha,1.26460413192833,
13:51:16.928062,FC6,Low_Beta,1.13156578617349,
13:51:16.928062,FC6,High_Beta,1.30276853271937,
13:51:16.928062,FC6,Gamma,6.01072645273558,
13:51:16.928062,P7,Theta,1.17368643677932,
13:51:16.928062,P7,Alpha,0.798801550989659,
13:51:16.928062,P7,Low_Beta,0.75088093222626,
13:51:16.928062,P7,High_Beta,1.07709841190588,
13:51:16.928062,P7,Gamma,2.80930475839484,
13:51:16.928062,P8,Theta,3.96600055404236,
13:51:16.928062,P8,Alpha,1.2999039843993,
13:51:16.928062,P8,Low_Beta,2.52524520831057,
13:51:16.928062,P8,High_Beta,3.13065978903472,
13:51:16.928062,P8,Gamma,9.00980957386986,
13:51:16.928062,O1,Theta,0.695176293886865,
13:51:16.928062,O1,Alpha,0.465534184581263,
13:51:16.928062,O1,Low_Beta,0.445365930362132,
13:51:16.928062,O1,High_Beta,0.522138056356125,
13:51:16.928062,O1,Gamma,1.5185806464603,
13:51:16.928062,O2,Theta,4.2063890444763,
13:51:16.928062,O2,Alpha,2.65664865981481,
13:51:16.928062,O2,Low_Beta,4.00757246462581,
13:51:16.928062,O2,High_Beta,4.30326571979878,
13:51:16.928062,O2,Gamma,13.0801064928427,
13:51:17.094459,AF3,Theta,0.335011275850279,
13:51:17.094459,AF3,Alpha,0.157747874684855,
13:51:17.094459,AF3,Low_Beta,0.1784183277419,
13:51:17.094459,AF3,High_Beta,0.136224462099398,
13:51:17.094459,AF3,Gamma,0.243346071312346,
13:51:17.094459,AF4,Theta,0.889112961823237,
13:51:17.094459,AF4,Alpha,1.47482091267064,
13:51:17.094459,AF4,Low_Beta,1.54155493425814,
13:51:17.094459,AF4,High_Beta,1.42036591897056,
13:51:17.094459,AF4,Gamma,5.58910090173596,
13:51:17.094459,T7,Theta,1.06672746421923,
13:51:17.094459,T7,Alpha,0.526521825253838,
13:51:17.094459,T7,Low_Beta,0.72648852814017,
13:51:17.094459,T7,High_Beta,1.05047065082956,
13:51:17.094459,T7,Gamma,3.38461965340773,
13:51:17.094459,T8,Theta,7.18852772792844,
13:51:17.094459,T8,Alpha,2.77597757539255,
13:51:17.094459,T8,Low_Beta,4.80768219836811,
13:51:17.094459,T8,High_Beta,4.80156935286561,
13:51:17.094459,T8,Gamma,15.9294318911764,
